"species","file","raw_rows","post_burnin_rows","kept","reason"
"Desmognathus_planiceps","pars_6_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_planiceps","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_quadramaculatus","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_santeetlah","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_santeetlah","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_santeetlah","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_santeetlah","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_santeetlah","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_santeetlah","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_15.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_16.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_17.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_18.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_19.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_20.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_welteri","pars_9.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_1.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_10.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_11.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_12.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_13.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_14.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_15.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_16.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_17.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_18.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_19.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_2.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_20.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_3.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_4.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_5.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_6.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_7.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_8.pars.log",5001,2001,TRUE,"kept"
"Desmognathus_wrighti","pars_9.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_1.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_10.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_11.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_12.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_2.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_3.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_4.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_5.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_6.pars.log",5001,2001,TRUE,"kept"
"Eurycea_aquatica","pars_7.pars.log",5001,2001,TRUE,"kept"
